ticker,have_days,expected_days,missing_days,is_full,first_day,last_day,lookback_days,generated_at
BIOA,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BIP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BIPC,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BIRK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BJ,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BJRI,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKE,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKH,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKNG,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKSY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKU,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BKV,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BL,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLBD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLCO,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLD,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLDP,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLDR,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLFS,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLFY,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
BLK,84,85,1,true,2025-07-22,2025-11-17,180,2025-11-17T17:39:34.576555Z
